id,name,artist,album,popularity,duration_ms
76XDNJIQpP9WGO5XASGBww,"Drunk In LA","Beach House","7",55,239306
141hcjVM8lNPxi4wjNLgdX,"I Want","Mk.gee","Two Star & The Dream Police",66,218766
4HqRhdpxH9zFUkf1kzbr3H,"Ballad Of Big Nothing","Elliott Smith","Either/Or",57,168266
5kZD0TTSYAgRzciBtKCmgT,"It's hard to get around the wind","Alex Turner","Submarine - Original Songs From The Film By Alex Turner",55,247013
5Qv2Nby1xTr9pQyjkrc94J,"All I Need","Radiohead","In Rainbows",85,228746
63ABAnFKJCp28TAyqf2cGL,"ROCKMAN","Mk.gee","ROCKMAN",67,179370
4E1iJ5IyJArrHi90JByHXV,"Romance ESL","Jonah Yano","Romance ESL / The Heavy Loop",32,196000
3C5JCxX8l665LhunXU0GZe,"On The Sea","Beach House","Bloom",32,332466
4wajJ1o7jWIg62YqpkHC7S,"Weird Fishes / Arpeggi","Radiohead","In Rainbows",80,318186
3ySOvc80Fu24XwusrFOqG3,"ketamine dream","farewell, alaska","dream death",12,199699
6nUPcVDYjCrnNMaXAJ9eO3,"Drinking Age","Cameron Winter","Heavy Metal",56,210857
5QB2J5Zw4VY7XOKNBTDHyl,"dance song","Dijon","How Do You Feel About Getting Married?",43,135961
52Bg6oaos7twR7IUtEpqcE,"Between The Bars","Elliott Smith","Either/Or",66,141280
1sWYVBg7ix2WAq43J9nY7E,"Are You Looking Up","Mk.gee","Two Star & The Dream Police",67,166179
2QwObYJWyJTiozvs0RI7CF,"Street Spirit (Fade Out)","Radiohead","The Bends",73,253853
4bN43jYf41eIjJZ3UXQpuA,"Hold On - Remastered 2010","John Lennon","Plastic Ono Band",62,112040
5bNrxsBY7GaovXZ8gfbLfn,"Myth","Beach House","Bloom",51,258653
0NtyuUILV22rjcc7JiSFfA,"Glad and Sorry","Faces","Ooh La La",56,186826
3e6RLfnS10fMdG0SW2fEaB,"wishing for you","deeper sleeper","deeper sleeper",29,247826
6NT3ynBjdIUPwfTbd9IgYI,"The Edge","The American Dawn","The Edge",54,278000
1UuaWKypSkIHxFZD03zw4m,"The Tourist","Radiohead","OK Computer",66,326533
4Nr7KnuPcMA91IrevTYWwC,"That Is My Life, That Is Yours","King Krule","Space Heavy",42,191431
4HuiEuJ7ZW8jewUuZBg6sk,"Sarah","Alex G","Trick",76,176146
2nilAlGEZmwyaLTMMyDdLo,"For Emma","Bon Iver","For Emma, Forever Ago",74,220720
3WIjTtXpbu1dViSMQYfID5,"dimeback","Mk.gee","A Museum Of Contradiction",55,198897
63Pi2NAx5yCgeLhCTOrEou,"Headlock","Imogen Heap","Speak for Yourself (Deluxe Version)",89,215338
3iRoXGFrF8O0jTul6LAmus,"Under Your Spell","Snow Strippers","April Mixtape 3",81,218500
35YyxFpE0ZTOoqFx5bADW8,"Nude","Radiohead","In Rainbows",76,255386
3tzuST1enlzD7ttdFgbf0r,"Breakthespell","Mk.gee","Two Star & The Dream Police",54,267052
0io5rx48vaFPfEJ7faIsss,"Always Some MF","Matt Maltese","Hers",50,278973
2YfRKF4sWeV1t1NqBoUgxH,"Anchin Kfu Ayinkash","Hailu Mergia, Dahlak Band","Wede Harer Guzo",51,324880
5gErVIEfTztsb2niYlWjI4,"do you light up?","Dijon","How Do You Feel About Getting Married?",49,88098
7Jlf6YCwGzfHWJByUkb6ll,"Have You Got It in You?","Imogen Heap","Speak for Yourself (Deluxe Version)",54,248924
0miLL2oGCtNeUamYZfNyX2,"Lo Que Dice La Lluvia","Serú Girán","Peperina",39,306013
2cWc4NJ2WYAZllS4VWFcHs,"She Will Destroy You","Cocteau Twins, Harold Budd","The Moon and the Melodies",52,257866
3UyfbleQaK7IJJQ1KGypve,"Brown Steel","Choker","Peak",30,189713
19YKaevk2bce4odJkP5L22,"Nikes","Frank Ocean","Blonde",74,314075
37SXOukD7A0vygSg1BB3tN,"Be Safe","The Cribs","Men's Needs, Women's Needs, Whatever (Standard Version)",38,354973
48RYaLutaxGUwRf5zH8RDH,"Ruins","Blue Mena","Ruins",16,174984
67Oq8booO7HDSL4LlmHE4s,"DNM","Mk.gee","Two Star & The Dream Police",59,118269
49FA0CCwP0GmIVbPzBqjD4,"Big Mike's","Dijon","Absolutely",57,275638
1CDC3DToJYG3957RqVlJMD,"Something - Anthology 3 Version","The Beatles","Anthology 3",38,198960
1UuyxrM0UxKxLht6vWf3lZ,"Annie","Dijon","Absolutely",52,118924
2OBPe4Pm6C8Lwh3dn6DbXs,"As We Bloom","Strawberry Guy","Sun Outside My Window",51,125146
6TeJroHNM4rXP4GluTvKXV,"Candy","Mk.gee","Two Star & The Dream Police",60,174824
6OpU3cvY19M2hFxTbLKy5L,"Juno","Choker","Honeybloom",50,231680
2uchnv9rOqfcLhFUpnQP7u,"Irene","Beach House","Bloom",34,1017013
2GGNtsp8uJukxi2d6R3lpN,"Dance Yrself Clean","LCD Soundsystem","This Is Happening",39,536106
1ZZJy1QMmFs14VGVNukb9V,"Mango - Mountain Version","Choker","Peak",23,172000
7vVywc6HuOtPzwdMkSxhI2,"'Till Forever","Labi Siffre","Crying, Laughing, Loving, Lying",47,75346
